Movies,Ratings,Rank,Year
The Shawshank Redemption,9.2,1,1994
The Godfather,9.1,2,1972
The Godfather: Part II,9.0,3,1974
The Dark Knight,9.0,4,2008
12 Angry Men,8.9,5,1957
Schindler's List,8.9,6,1993
The Lord of the Rings: The Return of the King,8.9,7,2003
Spider-Man: No Way Home,8.9,8,2021
Pulp Fiction,8.8,9,1994
"The Good, the Bad and the Ugly",8.8,10,1966
The Lord of the Rings: The Fellowship of the Ring,8.8,11,2001
Fight Club,8.8,12,1999
Forrest Gump,8.7,13,1994
Inception,8.7,14,2010
The Lord of the Rings: The Two Towers,8.7,15,2002
Star Wars: Episode V - The Empire Strikes Back,8.7,16,1980
The Matrix,8.6,17,1999
Goodfellas,8.6,18,1990
One Flew Over the Cuckoo's Nest,8.6,19,1975
Seven Samurai,8.6,20,1954
Se7en,8.6,21,1995
The Silence of the Lambs,8.6,22,1991
City of God,8.6,23,2002
Life Is Beautiful,8.6,24,1997
It's a Wonderful Life,8.6,25,1946
Saving Private Ryan,8.6,26,1998
Star Wars: Episode IV - A New Hope,8.6,27,1977
Interstellar,8.5,28,2014
Spirited Away,8.5,29,2001
The Green Mile,8.5,30,1999
Parasite,8.5,31,2019
Léon: The Professional,8.5,32,1994
Hara-Kiri,8.5,33,1962
The Pianist,8.5,34,2002
Terminator 2: Judgment Day,8.5,35,1991
Back to the Future,8.5,36,1985
The Usual Suspects,8.5,37,1995
Psycho,8.5,38,1960
The Lion King,8.5,39,1994
Modern Times,8.5,40,1936
American History X,8.5,41,1998
Grave of the Fireflies,8.5,42,1988
Whiplash,8.5,43,2014
City Lights,8.5,44,1931
Gladiator,8.5,45,2000
The Departed,8.5,46,2006
The Intouchables,8.5,47,2011
The Prestige,8.5,48,2006
Casablanca,8.4,49,1942
Once Upon a Time in the West,8.4,50,1968
Rear Window,8.4,51,1954
Cinema Paradiso,8.4,52,1988
Alien,8.4,53,1979
Apocalypse Now,8.4,54,1979
Memento,8.4,55,2000
Indiana Jones and the Raiders of the Lost Ark,8.4,56,1981
The Great Dictator,8.4,57,1940
Django Unchained,8.4,58,2012
The Lives of Others,8.4,59,2006
Paths of Glory,8.4,60,1957
Sunset Blvd.,8.4,61,1950
WALL·E,8.4,62,2008
Avengers: Infinity War,8.4,63,2018
Witness for the Prosecution,8.4,64,1957
The Shining,8.4,65,1980
Spider-Man: Into the Spider-Verse,8.4,66,2018
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,67,1964
Princess Mononoke,8.3,68,1997
Oldboy,8.3,69,2003
Joker,8.3,70,2019
Your Name.,8.3,71,2016
Coco,8.3,72,2017
The Dark Knight Rises,8.3,73,2012
Aliens,8.3,74,1986
Once Upon a Time in America,8.3,75,1984
Avengers: Endgame,8.3,76,2019
Capernaum,8.3,77,2018
Das Boot,8.3,78,1981
High and Low,8.3,79,1963
3 Idiots,8.3,80,2009
Toy Story,8.3,81,1995
American Beauty,8.3,82,1999
Amadeus,8.3,83,1984
Braveheart,8.3,84,1995
Inglourious Basterds,8.3,85,2009
Hamilton,8.3,86,2020
Good Will Hunting,8.3,87,1997
Star Wars: Episode VI - Return of the Jedi,8.3,88,1983
2001: A Space Odyssey,8.3,89,1968
Reservoir Dogs,8.3,90,1992
Come and See,8.3,91,1985
Like Stars on Earth,8.3,92,2007
M,8.3,93,1931
Vertigo,8.3,94,1958
Citizen Kane,8.3,95,1941
The Hunt,8.3,96,2012
Requiem for a Dream,8.3,97,2000
Singin' in the Rain,8.3,98,1952
North by Northwest,8.3,99,1959
Eternal Sunshine of the Spotless Mind,8.3,100,2004
Ikiru,8.3,101,1952
Bicycle Thieves,8.3,102,1948
Lawrence of Arabia,8.3,103,1962
The Kid,8.2,104,1921
Full Metal Jacket,8.2,105,1987
Dangal,8.2,106,2016
Incendies,8.2,107,2010
The Apartment,8.2,108,1960
The Father,8.2,109,2020
Metropolis,8.2,110,1927
Double Indemnity,8.2,111,1944
A Clockwork Orange,8.2,112,1971
Taxi Driver,8.2,113,1976
A Separation,8.2,114,2011
The Sting,8.2,115,1973
Scarface,8.2,116,1983
Pather Panchali,8.2,117,1955
Snatch,8.2,118,2000
1917,8.2,119,2019
Amélie,8.2,120,2001
To Kill a Mockingbird,8.2,121,1962
Toy Story 3,8.2,122,2010
For a Few Dollars More,8.2,123,1965
